; 14:50:48,802 DEBUG [User] (http-nio-7080-exec-1) Invoking Event User.getSystemUser()
; 14:50:48,802 DEBUG [BatchMailActionCommand] (http-nio-7080-exec-1) ---- Setting User Create Audit Fields
; 14:50:48,802 DEBUG [BatchMailActionCommand] (http-nio-7080-exec-1) ---- updating User Edit Audit Fields
; 14:50:48,802 DEBUG [SystemPreferenceEnum] (http-nio-7080-exec-1) Invoking Event SystemPreferenceEnum.get(value)
; 14:50:48,802 DEBUG [SystemPreferenceEnum] (http-nio-7080-exec-1) Invoking Event SystemPreferenceEnum.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,802 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of SystemPreferenceEnum in 0 ms
; 14:50:48,802 DEBUG [SystemPreference] (http-nio-7080-exec-1) Invoking Event SystemPreference.get(key)
; 14:50:48,802 DEBUG [SystemPreference] (http-nio-7080-exec-1) Invoking Event SystemPreference.getSystemPreferenceInternal(key)
; 14:50:48,802 DEBUG [SystemPreference] (http-nio-7080-exec-1) Invoking Event SystemPreference.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,802 DEBUG [SystemPreference] (http-nio-7080-exec-1) Invoking Event SystemPreference.processWhere(where)
; 14:50:48,802 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of SystemPreference in 0 ms
; 14:50:48,802 DEBUG [DefaultActTemplate] (http-nio-7080-exec-1) Invoking Event DefaultActTemplate.getTemplate(defaultType)
; 14:50:48,802 DEBUG [DefaultActTemplateTypeEnum] (http-nio-7080-exec-1) Invoking Event DefaultActTemplateTypeEnum.get(value)
; 14:50:48,802 DEBUG [DefaultActTemplateTypeEnum] (http-nio-7080-exec-1) Invoking Event DefaultActTemplateTypeEnum.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,802 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of DefaultActTemplateTypeEnum in 0 ms
; 14:50:48,802 DEBUG [SysCache] (http-nio-7080-exec-1) Invoking Event SysCache.get(key)
; 14:50:48,802 DEBUG [InstanceArrayList] (http-nio-7080-exec-1) Loading collection "dateTouchType" of Instance<EmailActionItemTemplate, (oid #z00000000000010008000CEEDED00300F), clean>(
   classCode="EAIT",
   defaultActTemplates=Collection(1),
   dateTouchType=Collection(0)
)
; 14:50:48,802 DEBUG [SQLAdapter] (http-nio-7080-exec-1) select top 1 A.id, A.locking from NJActTmpltDateTT A where A.templateId = ?
; 14:50:48,802 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 00000000000010008000CEEDED00300F
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 1 ms
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of ActTemplateDateTouchType in 0 ms
; 14:50:48,803 DEBUG [BatchMailActionCommand] (http-nio-7080-exec-1) Invoking Event BatchMailActionCommand.load(attributes)
; 14:50:48,803 DEBUG [Instance] (http-nio-7080-exec-1) Uninitialized Attribute attributes, set to null
; 14:50:48,803 DEBUG [BatchMailActionCommand] (http-nio-7080-exec-1) Invoking Event BatchMailActionCommand.batchPrint()
; 14:50:48,803 DEBUG [BatchPrintForOptionEnum] (http-nio-7080-exec-1) Invoking Event BatchPrintForOptionEnum.findBehaveAsValue(value)
; 14:50:48,803 DEBUG [BatchPrintForOptionEnum] (http-nio-7080-exec-1) Invoking Event BatchPrintForOptionEnum.get(value)
; 14:50:48,803 DEBUG [BatchPrintForOptionEnum] (http-nio-7080-exec-1) Invoking Event BatchPrintForOptionEnum.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) select A.valueCode, A.locale, A.typeCode, A.active, A.behaveAsCode, A.caption, A.classification, A.deletedFlag, A.displayOrder, A.externalCode, A.locking, A.parentTypeCode, A.parentValueCode, A.readOnlyFlag, A.shortCaption from NJEnumDisplay A where A.locale = ? and A.typeCode = ?
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 'fr'
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[1] = 'SBATCHFOROPTION'
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 0 ms
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 3 instance(s) of BatchPrintForOptionEnum in 0 ms
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of BatchPrintForOptionEnum in 0 ms
; 14:50:48,803 DEBUG [BatchProcessTypeEnum] (http-nio-7080-exec-1) Invoking Event BatchProcessTypeEnum.get(value)
; 14:50:48,803 DEBUG [BatchProcessTypeEnum] (http-nio-7080-exec-1) Invoking Event BatchProcessTypeEnum.read(attributes, where, orderBy, count, offset, xlock)
